,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total PPR,Pos,Fantrax
Brandin Cooks,15.2,9.4,4.2,18.7,6.0,0.0,8.6,11.3,0.0,8.2,10.0,11.1,0.0,0.0,0.0,13.4,7.9,124.0,WR,51.0
Jahan Dotson,18.0,17.9,3.0,13.3,0.0,0.0,0.0,0.0,0.0,2.4,2.6,0.0,16.4,0.0,20.5,19.6,6.7,120.39999999999999,WR,152.0
Marquez Valdes-Scantling,8.1,3.3,8.8,9.3,15.0,0.0,14.1,0.0,2.2,15.0,2.8,9.6,9.1,3.0,11.6,0.0,4.8,116.7,WR,130.0
Devin Duvernay,21.4,12.2,10.3,9.1,12.8,2.4,6.2,16.4,1.5,0.0,1.7,6.9,10.3,0.0,4.9,0.0,0.0,116.1,WR,238.0
Isaiah McKenzie,9.9,5.7,21.2,12.1,0.0,2.9,0.0,8.0,4.1,9.5,0.0,22.3,9.4,5.8,4.4,0.6,0.0,115.9,WR,210.0
Russell Gage,3.3,7.8,24.7,4.4,6.0,4.0,7.9,0.0,0.0,0.0,0.0,0.0,2.1,9.2,25.9,11.5,6.3,113.1,WR,102.0
Robert Woods,2.3,7.9,12.5,13.0,7.7,0.0,5.6,4.6,0.0,3.0,12.9,3.6,1.6,9.9,3.2,7.0,14.9,109.70000000000002,WR,99.0
Kalif Raymond,0.0,0.0,1.4,5.1,9.5,0.0,14.5,10.6,4.7,7.7,7.0,7.5,2.6,3.9,16.3,7.4,7.4,105.6,WR,380.0
Alec Pierce,0.0,0.0,9.1,12.0,16.1,13.9,6.7,9.5,3.3,0.0,5.8,0.0,18.6,0.0,0.0,5.6,4.5,105.10000000000001,WR,195.0
Michael Gallup,0.0,0.0,0.0,10.4,8.4,3.8,0.0,8.9,0.0,7.5,7.1,11.3,18.3,6.0,1.2,13.6,6.9,103.4,WR,178.0
Romeo Doubs,8.8,4.7,21.3,13.7,5.9,6.1,0.0,16.2,2.8,0.0,0.0,0.0,0.0,0.0,10.5,6.6,5.0,101.6,WR,191.0
Darnell Mooney,1.8,0.6,4.3,13.4,7.2,13.8,8.3,12.0,17.5,9.7,12.9,0.0,0.0,0.0,0.0,0.0,0.0,101.5,WR,58.0
Josh Reynolds,3.8,12.8,15.6,21.1,15.2,0.0,1.8,3.4,0.0,0.0,0.0,0.0,4.9,16.1,0.0,5.1,1.5,101.30000000000001,WR,311.0
Chase Claypool,9.4,6.6,7.6,0.0,10.0,23.4,9.1,12.54,3.7,1.8,3.1,7.1,5.8,0.0,0.0,0.0,0.0,100.14,WR,106.0
