Player,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total PPR,Pos,Fantrax
Allen Lazard,0,9.3,14.5,17.6,13.5,17.6,11.5,0,18.7,7.5,10.7,4.4,11.7,0,1.7,11.1,10.9,160.7,WR,116
Drake London,12.4,24.6,14.4,3.7,7.5,7,1.9,7.1,3.3,14.8,7.2,4.9,15.5,0,12,14.6,9.7,160.6,WR,92
Josh Palmer,3.9,13,15.9,3.5,5.4,14.7,0,0,18.6,7.4,30.6,10.6,13,9.3,9.9,3.6,0,159.4,WR,166
Tyler Boyd,13.3,5.7,20.5,7.62,6.2,12.6,29.5,12.8,9.4,0,6.2,3.6,10,0,14.5,5.1,0,157.02,WR,117
Marquise Brown,14.3,12.8,28,20.8,21.8,11.8,0,0,0,0,0,10.6,0,7.4,5.9,8.8,12.1,154.3,WR,50
DeAndre Hopkins,0,0,0,0,0,0,20.3,33.9,13.6,19.8,18.1,18.7,0,12.9,13,1.4,0,151.7,WR,105
George Pickens,1.3,3.3,6.9,16.2,14.3,5.8,18.1,0,0,14.5,18.3,10.7,1.2,10.8,7.3,16.7,4.9,150.3,WR,196
Christian Watson,6.1,3.9,0,9.3,0.8,0,0,2.2,4.4,32.7,21.1,21,24.4,0,8.6,10.9,2.1,147.5,WR,151
Courtland Sutton,11.2,19.7,17.7,16.2,12.4,3.4,5.3,2.3,0,12.6,13,13.5,0,0,0,11.4,8.4,147.1,WR,59
K.J. Osborn,4.4,4.5,18.3,1.5,9.1,4.8,0,8.8,0,7.7,3.7,2.3,3.7,14.8,31.7,4.7,18.9,138.9,WR,188
Parris Campbell,6.7,0,3,8.3,4.2,18.7,23,9.1,3.6,20.6,11.7,3.4,8.5,0,3.3,3.9,8.3,136.3,WR,315
Keenan Allen,10.6,0,0,0,0,0,3.1,0,0,0,12.4,15.9,20.8,21.2,16.6,21.4,11.8,133.8,WR,28
Darius Slayton,0,0,0,2.1,13.9,2.8,14.8,11.6,0,18.5,13.6,9.3,15,6.2,7.3,11.9,1.4,128.4,WR,397
Brandin Cooks,15.2,9.4,4.2,18.7,6,0,8.6,11.3,0,8.2,10,11.1,0,0,0,13.4,7.9,124,WR,51
Jahan Dotson,18,17.9,3,13.3,0,0,0,0,0,2.4,2.6,0,16.4,0,20.5,19.6,6.7,120.4,WR,152
Marquez Valdes-Scantling,8.1,3.3,8.8,9.3,15,0,14.1,0,2.2,15,2.8,9.6,9.1,3,11.6,0,4.8,116.7,WR,130
Devin Duvernay,21.4,12.2,10.3,9.1,12.8,2.4,6.2,16.4,1.5,0,1.7,6.9,10.3,0,4.9,0,0,116.1,WR,238
Isaiah McKenzie,9.9,5.7,21.2,12.1,0,2.9,0,8,4.1,9.5,0,22.3,9.4,5.8,4.4,0.6,0,115.9,WR,210
Russell Gage,3.3,7.8,24.7,4.4,6,4,7.9,0,0,0,0,0,2.1,9.2,25.9,11.5,6.3,113.1,WR,102
Robert Woods,2.3,7.9,12.5,13,7.7,0,5.6,4.6,0,3,12.9,3.6,1.6,9.9,3.2,7,14.9,109.7,WR,99
Kalif Raymond,0,0,1.4,5.1,9.5,0,14.5,10.6,4.7,7.7,7,7.5,2.6,3.9,16.3,7.4,7.4,105.6,WR,380
Alec Pierce,0,0,9.1,12,16.1,13.9,6.7,9.5,3.3,0,5.8,0,18.6,0,0,5.6,4.5,105.1,WR,195
Michael Gallup,0,0,0,10.4,8.4,3.8,0,8.9,0,7.5,7.1,11.3,18.3,6,1.2,13.6,6.9,103.4,WR,178
Romeo Doubs,8.8,4.7,21.3,13.7,5.9,6.1,0,16.2,2.8,0,0,0,0,0,10.5,6.6,5,101.6,WR,191
Darnell Mooney,1.8,0.6,4.3,13.4,7.2,13.8,8.3,12,17.5,9.7,12.9,0,0,0,0,0,0,101.5,WR,58
Josh Reynolds,3.8,12.8,15.6,21.1,15.2,0,1.8,3.4,0,0,0,0,4.9,16.1,0,5.1,1.5,101.3,WR,311
Chase Claypool,9.4,6.6,7.6,0,10,23.4,9.1,12.54,3.7,1.8,3.1,7.1,5.8,0,0,0,0,100.14,WR,106
Travis Kelce,26.1,10.1,17.9,24.2,33.5,19.2,15.8,0,20.6,20.1,35.5,15.7,7.6,11.1,20.5,17.3,11.3,306.5,TE,13
T.J. Hockenson,7.8,5.6,10.8,39.9,1.6,0,8.8,11,16,11.5,8.4,15.3,7.3,11.7,8.3,35.9,12.9,212.8,TE,71
Mark Andrews,10.2,25.7,28.9,3.5,22.9,23.6,0.4,6.3,0,0,12.3,11,9.4,3.7,6.1,7.5,19,190.5,TE,21
George Kittle,0,0,6.8,4.4,7.7,16.3,21.8,12.9,0,3.1,24.4,5.6,4.2,6.8,25.3,30,12.3,181.6,TE,47
Evan Engram,6.8,11.6,3.9,2.6,12.9,9,10.7,15.5,1.8,4.4,0,1.4,14,39.2,14.2,18.3,3.9,170.2,TE,164
Pat Freiermuth,12.5,12.2,6.1,15.5,3.2,0,15.5,9.7,0,7.6,15.9,6.9,10.6,12.3,0,13.6,6.6,148.2,TE,144
Tyler Higbee,8.9,14.1,10.1,17.3,11.6,1.7,0,3.5,0,15.3,8.5,0,3.4,3.1,12.7,30.4,4.1,144.7,TE,281
Dalton Schultz,13.2,1.8,0,0,0,0,9.9,13.4,0,17.4,5.2,19.1,5.3,14.7,3.5,7.3,24.6,135.4,TE,67
Juwan Johnson,6.3,8,0,6.3,2.3,8.1,20.2,3.4,12.2,15.4,13.7,0,0,0,22.7,1.9,11.2,131.7,TE,393
Cole Kmet,0,0,6,4.6,8.5,2.5,5.2,9.1,22,23.4,6.5,5.7,13.2,0,6.5,7.7,10.7,131.6,TE,126
Dallas Goedert,9,13.2,11.6,12.2,17.5,4.2,0,12.4,24,9.3,0,0,0,0,0,9.7,7.5,130.6,TE,87
Gerald Everett,14.4,13.1,4.5,17.1,1.2,7.9,11.3,0,8.6,4.3,0,7.8,13,7.8,8.2,0,10.5,129.7,TE,177
Tyler Conklin,11.6,10,16.4,8.2,0,2.7,6.2,25.9,1.7,0,3.5,8,2.9,7.8,1.9,7.4,14,128.2,TE,339
David Njoku,1.7,6.2,23.9,9.7,14.8,8.8,14.1,0,0,0,3.7,13.9,0,18.7,5.8,3.4,3.1,127.8,TE,157
Dawson Knox,1.5,8.1,6.5,7,0,12.7,0,9,5.5,9.7,14,3.7,0,14.1,21.8,12.8,0,126.4,TE,111
Noah Fant,4.6,3.1,6.7,7.2,7.9,10.5,1.7,3.9,14.6,6.4,0,6.4,14.2,0,14.2,9.2,6,116.6,TE,198
